dim,k,tempo (ms),max_v,% erro
2,2,"133,57576",16,"0,5548325"
2,4,"292,624221",16,"0,5449775"
2,8,"412,611944",16,"0,5449775"
2,16,"415,28045",16,"0,5449775"
2,32,"427,761903",16,"0,5449775"
4,2,"159,766917",16,"0,592953"
4,4,"272,960779",16,"0,59295"
4,8,"501,024978",16,"0,59295"
4,16,"495,356045",16,"0,59295"
4,32,"497,054219",16,"0,59295"
8,2,"148,85441",16,"0,7881725"
8,4,"252,245625",16,"0,782301"
8,8,"308,719153",16,"0,782301"
8,16,"291,457589",16,"0,782301"
8,32,"278,680176",16,"0,782301"
16,2,"198,589551",16,"0,830495"
16,4,"375,43278",16,"0,8283005"
16,8,"390,572459",16,"0,8283005"
16,16,"369,850862",16,"0,8283005"
16,32,"386,07639",16,"0,8283005"
32,2,"294,82619",16,"0,986881"
32,4,"313,730098",16,"0,9868785"
32,8,"282,821012",16,"0,9868785"
32,16,"282,019127",16,"0,9868785"
32,32,"292,973456",16,"0,9868785"
2,2,"69,749146",64,"0,216714"
2,4,"146,428145",64,"0,216714"
2,8,"233,52585",64,"0,216714"
2,16,"312,821484",64,"0,216714"
2,32,"315,573381",64,"0,216714"
4,2,"92,722199",64,"0,237878"
4,4,"205,310443",64,"0,237878"
4,8,"321,679322",64,"0,237878"
4,16,"455,458403",64,"0,237878"
4,32,"446,239328",64,"0,237878"
8,2,"193,424137",64,"0,293125"
8,4,"282,957259",64,"0,291333"
8,8,"1097,971231",64,"0,291333"
8,16,"1489,159728",64,"0,291333"
8,32,"1512,639987",64,"0,291333"
16,2,"443,542631",64,"0,509416"
16,4,"443,014942",64,"0,5018175"
16,8,"1251,27824",64,"0,5018175"
16,16,"1402,782425",64,"0,5018175"
16,32,"1380,426298",64,"0,5018175"
32,2,"357,759297",64,"0,790447"
32,4,"1071,103105",64,"0,7876635"
32,8,"1846,813676",64,"0,7876635"
32,16,"1976,744799",64,"0,7876635"
32,32,"1974,2025",64,"0,7876635"
2,2,"112,431104",256,0
2,4,"137,258438",256,0
2,8,"485,479968",256,0
2,16,"833,937949",256,0
2,32,"1007,094827",256,0
4,2,"156,21016",256,"0,001437"
4,4,"323,098819",256,"0,001437"
4,8,"562,063579",256,"0,001437"
4,16,"988,215159",256,"0,001437"
4,32,"1210,633892",256,"0,001437"
8,2,"308,885041",256,"0,0015555"
8,4,"512,374231",256,"0,001548"
8,8,"1290,46358",256,"0,001548"
8,16,"2351,316559",256,"0,001548"
8,32,"2977,285394",256,"0,001548"
16,2,"486,812637",256,"0,0073445"
16,4,"996,532851",256,"0,0071765"
16,8,"3597,738334",256,"0,0071765"
16,16,"5535,141611",256,"0,0071765"
16,32,"6552,231942",256,"0,0071765"
32,2,"1016,820313",256,"0,102851"
32,4,"4077,701426",256,"0,101118"
32,8,"4071,679964",256,"0,101118"
32,16,"7989,008449",256,"0,101118"
32,32,"8914,769709",256,"0,101118"
2,2,"113,940365",1024,0
2,4,"147,110239",1024,0
2,8,"492,150916",1024,0
2,16,"820,247547",1024,0
2,32,"1424,221952",1024,0
4,2,"156,923494",1024,0
4,4,"190,431533",1024,0
4,8,"698,367323",1024,0
4,16,"1259,447428",1024,0
4,32,"2134,58434",1024,0
8,2,"195,629355",1024,0
8,4,"551,965835",1024,0
8,8,"1110,067453",1024,0
8,16,"2183,301582",1024,0
8,32,"4045,399871",1024,0
16,2,"342,935037",1024,0
16,4,"959,603037",1024,0
16,8,"2749,634777",1024,0
16,16,"3639,796549",1024,0
16,32,"6959,653175",1024,0
32,2,"657,8723",1024,0
32,4,"1319,363806",1024,0
32,8,"4925,497942",1024,0
32,16,"10752,608333",1024,0
32,32,"19625,548032",1024,0
2,2,"111,832178",4096,0
2,4,"127,247629",4096,0
2,8,"474,156017",4096,0
2,16,"802,781768",4096,0
2,32,"1376,985809",4096,0
4,2,"152,895942",4096,0
4,4,"182,88224",4096,0
4,8,"662,747709",4096,0
4,16,"1175,837837",4096,0
4,32,"1971,319041",4096,0
8,2,"183,076376",4096,0
8,4,"494,099136",4096,0
8,8,"1086,805951",4096,0
8,16,"1978,532399",4096,0
8,32,"3647,607308",4096,0
16,2,"316,420025",4096,0
16,4,"862,878867",4096,0
16,8,"2551,339667",4096,0
16,16,"3520,415058",4096,0
16,32,"6614,430015",4096,0
32,2,"588,696276",4096,0
32,4,"1303,545893",4096,0
32,8,"4284,614334",4096,0
32,16,"9988,081057",4096,0
32,32,"18943,759574",4096,0
2,2,"112,335152",16384,0
2,4,"128,356052",16384,0
2,8,"477,557138",16384,0
2,16,"802,586751",16384,0
2,32,"1384,252225",16384,0
4,2,"154,038618",16384,0
4,4,"183,147291",16384,0
4,8,"675,808454",16384,0
4,16,"1175,419866",16384,0
4,32,"1977,966597",16384,0
8,2,"185,029825",16384,0
8,4,"498,948311",16384,0
8,8,"1092,874997",16384,0
8,16,"1996,439077",16384,0
8,32,"3682,113387",16384,0
16,2,"316,373789",16384,0
16,4,"863,522324",16384,0
